"SR. NO 
","EFFECTIVE DATE 
","SYMBOL 
","SECURITY NAME 
","FROM 
","TO 
"
212,"01-JUL-2024","ICDSLTD","ICDS LIMITED","2","5"
213,"01-JUL-2024","GTECJAINX","G-TEC JAINX EDUCATION LIMITED","2","5"
214,"01-JUL-2024","GOYALALUM","GOYAL ALUMINIUMS LIMITED","2","5"
215,"01-JUL-2024","GOKUL","GOKUL REFOILS AND SOLVENT LIMITED","2","5"
216,"01-JUL-2024","GLFL","GUJARAT LEASE FINANCING LIMITED","2","5"
217,"01-JUL-2024","GATECH","GACM TECHNOLOGIES LIMITED","2","5"
218,"01-JUL-2024","DHRUV","DHRUV CONSULTANCY SERVICES LIMITED","2","5"
219,"01-JUL-2024","DCG","DCG CABLES & WIRES LIMITED","20","10"
220,"01-JUL-2024","BRNL","BHARAT ROAD NETWORK LIMITED","2","5"
221,"01-JUL-2024","BRIGHT","BRIGHT SOLAR LIMITED","10","5"
222,"01-JUL-2024","BGRENERGY","BGR ENERGY SYSTEMS LIMITED","2","5"
223,"01-JUL-2024","BANKA","BANKA BIOLOO LIMITED","2","5"
224,"01-JUL-2024","ASTRON","ASTRON PAPER & BOARD MILL LIMITED","2","5"
225,"28-JUN-2024","ZODIACLOTH","ZODIAC CLOTHING COMPANY LIMITED","10","5"
226,"28-JUN-2024","ZENITHSTL","ZENITH STEEL PIPES & INDUSTRIES LIMITED","10","5"
227,"28-JUN-2024","ZEEL","ZEE ENTERTAINMENT ENTERPRISES LIMITED","-","20"
228,"28-JUN-2024","SOMICONVEY","SOMI CONVEYOR BELTINGS LIMITED","10","5"
229,"28-JUN-2024","SANOFI","SANOFI INDIA LIMITED","5","20"
230,"28-JUN-2024","PKTEA","THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED","10","5"
231,"28-JUN-2024","HEXATRADEX","HEXA TRADEX LIMITED","10","5"
232,"28-JUN-2024","GRSE","GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED","20","10"
233,"28-JUN-2024","BURNPUR","BURNPUR CEMENT LIMITED","20","10"
234,"28-JUN-2024","A2ZINFRA","A2Z INFRA ENGINEERING LIMITED","5","2"
235,"27-JUN-2024","WOMANCART","WOMANCART LIMITED","10","5"
236,"27-JUN-2024","USK","UDAYSHIVAKUMAR INFRA LIMITED","20","5"
237,"27-JUN-2024","TOTAL","TOTAL TRANSPORT SYSTEMS LIMITED","20","5"
